,event_people_assoc_id,event_id,person_id,person_role
5432053,28401,11868,1177.0,Purchaser
5432057,28402,11868,1178.0,Purchaser
5432060,28403,11869,2474.0,Owner
5432062,28404,11869,2475.0,Owner
5432063,28405,11870,594.0,Owner
5432065,28406,11870,595.0,Owner
5432066,28407,11871,1176.0,Purchaser
5434516,28408,11871,1177.0,Purchaser
5434520,28409,11871,1178.0,Purchaser
5434523,28410,11872,1387.0,Owner
5434524,28411,11872,1388.0,Owner
5434525,28412,11872,1389.0,Owner
5434527,28413,11873,1659.0,Owner
5434530,28414,11874,1176.0,Purchaser
5436980,28415,11874,1177.0,Purchaser
5436984,28416,11874,1178.0,Purchaser
5436987,28417,11875,381.0,Owner
5437000,28418,11875,382.0,Owner
5437001,28419,11875,383.0,Owner
5437005,28420,11876,2378.0,Owner
5437008,28421,11876,2379.0,Owner
5437026,28422,11877,2440.0,Owner
5437027,28423,11877,2441.0,Owner
5437028,28424,11877,2442.0,Owner
5437029,28425,11877,2443.0,Owner
5437047,28426,11878,377.0,Owner
5437063,28427,11878,378.0,Owner
5437067,28428,11879,1529.0,Owner
5437073,28429,11879,1530.0,Owner
5437074,28430,11879,1531.0,Owner
5437075,28431,11879,1532.0,Owner
5437076,28432,11879,1533.0,Owner
5437077,28433,11880,1176.0,Purchaser
5439527,28434,11880,1177.0,Purchaser
5439531,28435,11880,1178.0,Purchaser
5439534,28436,11881,1041.0,Owner
5439535,28437,11881,1042.0,Owner
5439536,28438,11881,1043.0,Owner
5439537,28439,11882,1643.0,Owner
5439538,28440,11882,1644.0,Owner
5439540,28441,11883,717.0,Owner
5439542,28442,11883,718.0,Owner
5439543,28443,11884,799.0,Owner
5439544,28444,11884,800.0,Owner
5439545,28445,11884,801.0,Owner
5439546,28446,11885,1176.0,Purchaser
5441996,28447,11885,1177.0,Purchaser
5442000,28448,11885,1178.0,Purchaser
5442003,28449,11886,2103.0,Owner
5442004,28450,11886,2104.0,Owner
5442011,28451,11887,1682.0,Owner
5442013,28452,11887,1683.0,Owner
5442014,28453,11888,2434.0,Owner
5442015,28454,11888,2435.0,Owner
5442016,28455,11888,2436.0,Owner
5442017,28456,11888,2437.0,Owner
5442018,28457,11889,670.0,Owner
5442019,28458,11889,671.0,Owner
5442022,28459,11890,1176.0,Purchaser
5444472,28460,11890,1177.0,Purchaser
5444476,28461,11890,1178.0,Purchaser
5444479,28462,11891,136.0,Owner
